Empty Label Element div[1],//html/body/div/div[1]
Empty Label Element div[1],//html/body/div/div[1]/div[1]
Label Element a,//html/body/div/div[1]/div[1]/a
alt: logo,//html/body/div/div[1]/div[1]/a/img
Empty Label Element div[2],//html/body/div/div[1]/div[2]
Empty Label Element div[1],//html/body/div/div[1]/div[2]/div[1]
Empty Label Element ul,//html/body/div/div[1]/div[2]/div[1]/ul
Label Element li[1],//html/body/div/div[1]/div[2]/div[1]/ul/li[1]
Degalø kainos,//html/body/div/div[1]/div[2]/div[1]/ul/li[1]/a
Label Element li[2],//html/body/div/div[1]/div[2]/div[1]/ul/li[2]
Statistika,//html/body/div/div[1]/div[2]/div[1]/ul/li[2]/a
Label Element li[3],//html/body/div/div[1]/div[2]/div[1]/ul/li[3]
Straipsniai,//html/body/div/div[1]/div[2]/div[1]/ul/li[3]/a
Label Element li[4],//html/body/div/div[1]/div[2]/div[1]/ul/li[4]
Apie mus,//html/body/div/div[1]/div[2]/div[1]/ul/li[4]/a
Label Element li[5],//html/body/div/div[1]/div[2]/div[1]/ul/li[5]
Bendradarbiavimas,//html/body/div/div[1]/div[2]/div[1]/ul/li[5]/a
Empty Label Element div[2],//html/body/div/div[1]/div[2]/div[2]
Label Element div[1],//html/body/div/div[1]/div[2]/div[2]/div[1]
Empty Label Element ul,//html/body/div/div[1]/div[2]/div[2]/ul
Label Element li[1],//html/body/div/div[1]/div[2]/div[2]/ul/li[1]
Degalø kainos Lietuvoje,//html/body/div/div[1]/div[2]/div[2]/ul/li[1]/a
Label Element li[2],//html/body/div/div[1]/div[2]/div[2]/ul/li[2]
 | Maþiausios kainos Lietuvoje,//html/body/div/div[1]/div[2]/div[2]/ul/li[2]/a
Label Element li[3],//html/body/div/div[1]/div[2]/div[2]/ul/li[3]
 | Degalø kainos Europoje,//html/body/div/div[1]/div[2]/div[2]/ul/li[3]/a
Label Element li[4],//html/body/div/div[1]/div[2]/div[2]/ul/li[4]
 | Mano degalinës,//html/body/div/div[1]/div[2]/div[2]/ul/li[4]/a
Label Element div[2],//html/body/div/div[1]/div[2]/div[2]/div[2]
Label Element div[3],//html/body/div/div[1]/div[2]/div[2]/div[3]
Label Element div[3],//html/body/div/div[1]/div[3]
Empty Label Element div[2],//html/body/div/div[2]
Empty Label Element div[1],//html/body/div/div[2]/div[1]
Empty Label Element div[1],//html/body/div/div[2]/div[1]/div[1]
Empty Label Element div[2],//html/body/div/div[2]/div[1]/div[2]
Label Element iframe,//html/body/div/div[2]/div[1]/div[2]/iframe
Label Element div[3],//html/body/div/div[2]/div[1]/div[3]
Empty Label Element div[4],//html/body/div/div[2]/div[1]/div[4]
Empty Label Element div[1],//html/body/div/div[2]/div[1]/div[4]/div[1]
Reklama,//html/body/div/div[2]/div[1]/div[4]/div[1]/h2
Empty Label Element div[2],//html/body/div/div[2]/div[1]/div[4]/div[2]
Label Element div[3],//html/body/div/div[2]/div[1]/div[4]/div[3]
Empty Label Element div[5],//html/body/div/div[2]/div[1]/div[5]
Empty Label Element div[1],//html/body/div/div[2]/div[1]/div[5]/div[1]
Draugai,//html/body/div/div[2]/div[1]/div[5]/div[1]/h2
